,Candidate,clean_name,State,District,num_candidates_in_race,Office Type,Race Type,Primary Status,Primary Runoff Status,General Status,Primary %,Endorsements,district_identifier,district_lean,Cand_Office,Cand_Party_Affiliation,Cand_Incumbent_Challenger_Open_Seat,Total_Receipt,Total_Disbursement,Cash_On_Hand_COP,Debt_Owed_By_Committee,Individual_Itemized_Contribution,Individual_Unitemized_Contribution,Individual_Contribution,Other_Committee_Contribution,Party_Committee_Contribution,Cand_Contribution,Total_Contribution,Transfer_From_Other_Auth_Committee,Cand_Loan,Other_Loan,Total_Loan,Offsets_To_Operating_Expenditure,Offsets_To_Fundraising,Offsets_To_Leagal_Accounting,Other_Receipts,Operating_Expenditure,Exempt_Legal_Accounting_Disbursement,Fundraising_Disbursement,Transfer_To_Other_Auth_Committee,Cand_Loan_Repayment,Other_Loan_Repayment,Total_Loan_Repayment,Individual_Refund,Party_Committee_Refund,Other_Committee_Refund,Total_Contribution_Refund,Other_Disbursements,Net_Contribution,Net_Operating_Expenditure,Cash_On_Hand_BOP,Debt_Owe_To_Committee,Coverage_Start_Date,Republican?,Challenger?(else_open),received_endorsements?
310,Jeff Jones,jeff jones,MI,U.S. House Michigan District 12,1,Representative,Regular,Advanced,None,On the Ballot,100.0,0.0,MI-12,25.4032,H,REP,CHALLENGER,82410.0,82670.99,569.0,0.0,80737.0,323.0,78969.0,0.0,1350.0,0.0,82411.68,0.0,0.0,0.0,0.0,0.0,0,0,0.0,22670.0,0.0,0.0,0.0,0.0,0.0,0.0,60000.0,0.0,0.0,60000.0,0.0,82410.0,82670.0,786.0,0.0,01/01/2017,True,True,False
311,Brenda Jones,brenda jones,MI,U.S. House Michigan District 13,10,Representative,Special,Advanced,None,On the Ballot,37.700001,0.0,MI-13,56.21447,H,DEM,OPEN,270417.42,267024.83,3392.59,28381.91,176370.0,25961.0,202331.0,68000.0,0.0,0.0,270331.0,0.0,0.0,0.0,0.0,79.57,0,0,6.85,261024.83,0.0,0.0,0.0,0.0,0.0,0.0,500.0,0.0,0.0,500.0,5500.0,269831.0,260945.26,0.0,0.0,01/01/2018,False,False,False
312,Brenda Jones,brenda jones,MI,U.S. House Michigan District 13,10,Representative,Regular,Lost,None,None,29.200001,0.0,MI-13,56.21447,H,DEM,OPEN,270417.42,267024.83,3392.59,28381.91,176370.0,25961.0,202331.0,68000.0,0.0,0.0,270331.0,0.0,0.0,0.0,0.0,79.57,0,0,6.85,261024.83,0.0,0.0,0.0,0.0,0.0,0.0,500.0,0.0,0.0,500.0,5500.0,269831.0,260945.26,0.0,0.0,01/01/2018,False,False,False
313,Ian Conyers,ian conyers,MI,U.S. House Michigan District 13,10,Representative,Regular,Lost,None,None,6.3000002,0.0,MI-13,56.21447,H,DEM,OPEN,212777.5,212562.28,215.22,3434.6,145452.44,32403.39,177855.83,21772.74,0.0,13047.01,212675.58,0.0,0.0,0.0,0.0,101.92,0,0,0.0,212261.25,0.0,0.0,0.0,0.0,0.0,0.0,301.03,0.0,0.0,301.03,0.0,212374.55,212159.33,0.0,0.0,12/11/2017,False,False,False
314,Ian Conyers,ian conyers,MI,U.S. House Michigan District 13,10,Representative,Special,Lost,None,None,11.2,0.0,MI-13,56.21447,H,DEM,OPEN,212777.5,212562.28,215.22,3434.6,145452.44,32403.39,177855.83,21772.74,0.0,13047.01,212675.58,0.0,0.0,0.0,0.0,101.92,0,0,0.0,212261.25,0.0,0.0,0.0,0.0,0.0,0.0,301.03,0.0,0.0,301.03,0.0,212374.55,212159.33,0.0,0.0,12/11/2017,False,False,False
315,Rashida Tlaib,rashida tlaib,MI,U.S. House Michigan District 13,10,Representative,Regular,Advanced,None,On the Ballot,33.200001,0.0,MI-13,56.21447,H,DEM,OPEN,1666003.3,1598348.01,67655.29,0.0,1248296.02,261530.39,1509826.41,139520.54,0.0,0.0,1649346.95,16361.04,0.0,0.0,0.0,0.0,0,0,295.31,1556989.51,0.0,0.0,0.0,0.0,0.0,0.0,34970.0,0.0,5250.0,40220.0,1138.5,1609126.95,1556989.51,0.0,0.0,12/01/2017,False,False,False
316,Rashida Tlaib,rashida tlaib,MI,U.S. House Michigan District 13,10,Representative,Special,Lost,None,None,35.900002,0.0,MI-13,56.21447,H,DEM,OPEN,1666003.3,1598348.01,67655.29,0.0,1248296.02,261530.39,1509826.41,139520.54,0.0,0.0,1649346.95,16361.04,0.0,0.0,0.0,0.0,0,0,295.31,1556989.51,0.0,0.0,0.0,0.0,0.0,0.0,34970.0,0.0,5250.0,40220.0,1138.5,1609126.95,1556989.51,0.0,0.0,12/01/2017,False,False,False
317,Shanelle Jackson,shanelle jackson,MI,U.S. House Michigan District 13,10,Representative,Regular,Lost,None,None,5.3000002,0.0,MI-13,56.21447,H,DEM,OPEN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,False,False,False
318,Marc Herschfus,marc herschfus,MI,U.S. House Michigan District 14,1,Representative,Regular,Advanced,None,On the Ballot,100.0,0.0,MI-14,57.05404,H,REP,CHALLENGER,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,True,True,False
319,Zigmond Kozicki,zigmond kozicki,MI,U.S. House Michigan District 4,2,Representative,Regular,Lost,None,None,33.599998,0.0,MI-4,-27.4874,H,DEM,CHALLENGER,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,False,True,False
320,George Franklin,george franklin,MI,U.S. House Michigan District 6,4,Representative,Regular,Lost,None,None,28.1,0.0,MI-6,-9.074366,H,DEM,CHALLENGER,843741.2,843741.2,0.0,0.0,628697.27,68914.15,697611.42,11450.0,0.0,0.0,709061.42,0.0,0.0,134000.0,134000.0,0.0,0,0,679.78,843741.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,709061.42,843741.2,0.0,0.0,10/01/2017,False,True,False
321,Matt Longjohn,matt longjohn,MI,U.S. House Michigan District 6,4,Representative,Regular,Advanced,None,On the Ballot,37.299999,0.0,MI-6,-9.074366,H,DEM,CHALLENGER,1453674.97,1453154.04,520.93,0.0,1031826.83,268556.33,1300383.16,79661.33,0.0,69492.51,1449537.0,3997.08,0.0,0.0,0.0,140.89,0,0,0.0,1444098.62,0.0,0.0,0.0,0.0,0.0,0.0,9055.42,0.0,0.0,9055.42,0.0,1440481.58,1443957.73,0.0,0.0,07/01/2017,False,True,False
322,Rich Eichholz,rich eichholz,MI,U.S. House Michigan District 6,4,Representative,Regular,Lost,None,None,13.0,3.0,MI-6,-9.074366,H,DEM,CHALLENGER,196556.31,196556.31,0.0,0.0,62833.0,26350.0,89183.0,0.0,0.0,28363.77,117546.77,0.0,79009.54,0.0,79009.54,0.0,0,0,0.0,196431.31,0.0,0.0,0.0,0.0,0.0,0.0,125.0,0.0,0.0,125.0,0.0,117421.77,196431.31,0.0,0.0,07/11/2017,False,True,True
323,Gretchen Driskell,gretchen driskell,MI,U.S. House Michigan District 7,2,Representative,Regular,Advanced,None,On the Ballot,85.199997,2.0,MI-7,-18.97547,H,DEM,CHALLENGER,2719885.42,2711006.54,24135.97,140800.04,1628760.84,416333.26,2045094.1,458029.98,5291.42,50000.0,2558415.5,93.24,150000.0,0.0,150000.0,11376.68,0,0,0.0,2520531.4,0.0,0.0,0.0,21199.96,0.0,21199.96,13720.7,0.0,623.64,14344.34,154930.84,2544071.16,2509154.72,15257.09,0.0,01/01/2017,False,True,True
324,Steven Friday,steven friday,MI,U.S. House Michigan District 7,2,Representative,Regular,Lost,None,None,14.8,0.0,MI-7,-18.97547,H,DEM,CHALLENGER,51907.96,51907.96,0.0,0.0,19715.0,8273.17,27988.17,0.0,0.0,23746.37,51734.54,0.0,0.0,0.0,0.0,173.42,0,0,0.0,45585.21,0.0,0.0,0.0,0.0,0.0,0.0,6060.0,0.0,0.0,6060.0,262.75,45674.54,45411.79,0.0,0.0,11/01/2017,False,True,False
325,Elissa Slotkin,elissa slotkin,MI,U.S. House Michigan District 8,2,Representative,Regular,Advanced,None,On the Ballot,70.900002,1.0,MI-8,-6.0625,H,DEM,CHALLENGER,7467572.93,7448338.28,19234.65,10200.0,4651272.45,996468.09,5647740.54,621940.68,12000.0,0.0,6281681.22,1173400.63,10200.0,0.0,10200.0,2291.08,0,0,0.0,7401056.9,0.0,0.0,0.0,0.0,0.0,0.0,42634.38,0.0,2272.0,44906.38,2375.0,6236774.84,7398765.82,0.0,0.0,06/27/2017,False,True,True
